date,PRC,sprtrn
20090626,105.68000,-0.001478
20090629,105.83000,0.009065
20090630,104.42000,-0.008531
20090701,104.84000,0.004362
20090702,101.73000,-0.029145
20090706,101.65000,0.002566
20090707,100.19000,-0.019684
20090708,100.68000,-0.001669
20090709,102.08000,0.003547
20090710,100.83000,-0.004022
20090713,103.62000,0.024934
20090714,103.25000,0.005316
20090715,107.22000,0.029630
20090716,110.64000,0.008642
20090717,115.42000,-0.000383
20090720,116.44000,0.011432
20090721,117.04000,0.003627
20090722,115.57000,-0.000534
20090723,117.06000,0.023290
20090724,117.64000,0.003042
20090727,117.63000,0.002982
20090728,117.28000,-0.002606
20090729,117.26000,-0.004563
20090730,117.86000,0.011896
20090731,117.93000,0.000740
20090803,119.92000,0.015342
20090804,119.60000,0.003012
20090805,118.47000,-0.002914
20090806,117.38000,-0.005625
20090807,119.33000,0.013439
20090810,118.70000,-0.003345
20090811,117.79000,-0.012660
20090812,119.29000,0.011525
20090813,119.58000,0.006880
20090814,118.57000,-0.008531
20090817,116.86000,-0.024261
20090818,117.63000,0.010146
20090819,118.57000,0.006861
20090820,118.95000,0.010949
20090821,119.90000,0.018623
20090824,119.32000,-0.000546
20090825,118.83000,0.002369
20090826,119.47000,0.000117
20090827,119.43000,0.002782
20090828,118.22000,-0.001988
20090831,118.05000,-0.008076
20090901,116.69000,-0.022124
20090902,116.09000,-0.003296
20090903,116.33000,0.008535
20090904,117.46000,0.013118
20090908,117.16000,0.008845
20090909,116.76000,0.007782
20090910,117.67000,0.010422
20090911,118.05000,-0.001350
20090914,118.88000,0.006339
20090915,119.35000,0.003135
20090916,121.82000,0.015324
20090917,121.88000,-0.003060
20090918,122.11000,0.002637
20090921,121.57000,-0.003407
20090922,121.61000,0.006575
20090923,120.82000,-0.010068
20090924,120.94000,-0.009511
20090925,121.08000,-0.006091
20090928,119.33000,0.017810
20090929,118.81000,-0.002230
20090930,119.61000,-0.003328
20091001,117.90000,-0.025760
20091002,119.02000,-0.004506
20091005,119.75000,0.014875
20091006,121.35000,0.013705
20091007,122.78000,0.002712
20091008,122.29000,0.007470
20091009,125.93000,0.005641
20091012,127.04000,0.004386
20091013,127.02000,-0.002788
20091014,128.35001,0.017546
20091015,127.98000,0.004157
20091016,121.64000,-0.008098
20091019,123.06000,0.009405
20091020,122.82000,-0.006239
20091021,120.87000,-0.008854
20091022,122.69000,0.010644
20091023,120.36000,-0.012179
20091026,120.11000,-0.011717
20091027,120.65000,-0.003318
20091028,121.50000,-0.019541
20091029,122.87000,0.022520
