PERMNO,date,TICKER,PRC,vwretd,ewretd
18542,20070112,CAT,59.74000,0.006142,0.006821
18542,20070116,CAT,59.24000,0.000313,0.000561
18542,20070117,CAT,59.91000,-0.000624,-0.000106
18542,20070118,CAT,59.90000,-0.004683,-0.007338
18542,20070119,CAT,59.37000,0.004345,0.005339
18542,20070122,CAT,58.17000,-0.005372,-0.004337
18542,20070123,CAT,59.56000,0.005219,0.006200
18542,20070124,CAT,59.73000,0.008811,0.006918
18542,20070125,CAT,59.63000,-0.010734,-0.007872
18542,20070126,CAT,61.09000,0.000090,0.003034
18542,20070129,CAT,61.70000,0.000140,0.003428
18542,20070130,CAT,62.88000,0.005779,0.005123
18542,20070131,CAT,64.07000,0.006344,0.003520
18542,20070201,CAT,64.99000,0.006260,0.006416
18542,20070202,CAT,65.25000,0.001255,0.002299
18542,20070205,CAT,64.49000,-0.000608,-0.001074
18542,20070206,CAT,64.42000,0.001512,0.003197
18542,20070207,CAT,65.64000,0.002195,0.003716
18542,20070208,CAT,65.63000,-0.000430,0.001075
18542,20070209,CAT,64.80000,-0.006905,-0.004901
18542,20070212,CAT,64.60000,-0.003885,-0.002915
18542,20070213,CAT,64.73000,0.008050,0.005359
18542,20070214,CAT,66.16000,0.007226,0.004639
18542,20070215,CAT,67.62000,0.001729,0.001444
18542,20070216,CAT,67.67000,0.000505,0.002640
18542,20070220,CAT,67.93000,0.003574,0.005982
18542,20070221,CAT,68.21000,-0.000291,0.001667
18542,20070222,CAT,67.78000,-0.000382,0.002277
18542,20070223,CAT,67.26000,-0.002572,0.000068
18542,20070226,CAT,67.26000,-0.001258,-0.001080
18542,20070227,CAT,64.83000,-0.034109,-0.031231
18542,20070228,CAT,64.43000,0.004746,0.003802
18542,20070301,CAT,63.90000,-0.002849,-0.004932
18542,20070302,CAT,63.04000,-0.012474,-0.011435
18542,20070305,CAT,63.17000,-0.012016,-0.017184
18542,20070306,CAT,63.62000,0.016742,0.017683
18542,20070307,CAT,64.23000,-0.001346,0.000064
18542,20070308,CAT,64.30000,0.007243,0.005598
18542,20070309,CAT,64.40000,0.001629,0.001708
18542,20070312,CAT,64.57000,0.003146,0.004002
18542,20070313,CAT,63.34000,-0.020152,-0.017483
18542,20070314,CAT,63.64000,0.005428,0.002280
