PERMNO,date,TICKER,PERMCO,PRC,RET,CFACSHR,RETX,sprtrn
12490,20111019,IBM,20990,177.39000,-0.008440,1,-0.008440,-0.012649
12490,20111020,IBM,20990,177.25000,-0.000789,1,-0.000789,0.004554
12490,20111021,IBM,20990,181.63000,0.024711,1,0.024711,0.018809
12490,20111024,IBM,20990,182.25000,0.003414,1,0.003414,0.012873
12490,20111025,IBM,20990,180.36000,-0.010370,1,-0.010370,-0.020045
12490,20111026,IBM,20990,181.97000,0.008927,1,0.008927,0.010537
12490,20111027,IBM,20990,185.88000,0.021487,1,0.021487,0.034291
12490,20111028,IBM,20990,187.45000,0.008446,1,0.008446,0.000389
12490,20111031,IBM,20990,184.63000,-0.015044,1,-0.015044,-0.024738
12490,20111101,IBM,20990,181.35001,-0.017765,1,-0.017765,-0.027942
12490,20111102,IBM,20990,183.92000,0.014171,1,0.014171,0.016105
12490,20111103,IBM,20990,187.30000,0.018378,1,0.018378,0.018782
12490,20111104,IBM,20990,186.38000,-0.004912,1,-0.004912,-0.006280
12490,20111107,IBM,20990,187.32001,0.005043,1,0.005043,0.006296
12490,20111108,IBM,20990,187.25000,0.003630,1,-0.000374,0.011736
12490,20111109,IBM,20990,182.24001,-0.026756,1,-0.026756,-0.036695
12490,20111110,IBM,20990,183.35001,0.006091,1,0.006091,0.008616
12490,20111111,IBM,20990,187.38000,0.021980,1,0.021980,0.019489
12490,20111114,IBM,20990,187.35001,-0.000160,1,-0.000160,-0.009550
12490,20111115,IBM,20990,188.75000,0.007473,1,0.007473,0.004817
12490,20111116,IBM,20990,186.62000,-0.011285,1,-0.011285,-0.016616
12490,20111117,IBM,20990,185.73000,-0.004769,1,-0.004769,-0.016800
12490,20111118,IBM,20990,185.24001,-0.002638,1,-0.002638,-0.000395
12490,20111121,IBM,20990,181.48000,-0.020298,1,-0.020298,-0.018648
12490,20111122,IBM,20990,181.31000,-0.000937,1,-0.000937,-0.004141
12490,20111123,IBM,20990,177.95000,-0.018532,1,-0.018532,-0.022095
12490,20111125,IBM,20990,177.06000,-0.005001,1,-0.005001,-0.002686
12490,20111128,IBM,20990,182.21001,0.029086,1,0.029086,0.029240
12490,20111129,IBM,20990,180.94000,-0.006970,1,-0.006970,0.002214
12490,20111130,IBM,20990,188.00000,0.039018,1,0.039018,0.043315
12490,20111201,IBM,20990,189.45000,0.007713,1,0.007713,-0.001909
12490,20111202,IBM,20990,189.66000,0.001109,1,0.001109,-0.000241
12490,20111205,IBM,20990,190.84000,0.006222,1,0.006222,0.010287
12490,20111206,IBM,20990,192.94000,0.011004,1,0.011004,0.001106
12490,20111207,IBM,20990,194.05000,0.005753,1,0.005753,0.002018
12490,20111208,IBM,20990,191.58000,-0.012729,1,-0.012729,-0.021142
12490,20111209,IBM,20990,194.56000,0.015555,1,0.015555,0.016883
12490,20111212,IBM,20990,192.17999,-0.012233,1,-0.012233,-0.014914
12490,20111213,IBM,20990,191.14999,-0.005360,1,-0.005360,-0.008686
12490,20111214,IBM,20990,188.72000,-0.012712,1,-0.012712,-0.011348
12490,20111215,IBM,20990,187.48000,-0.006571,1,-0.006571,0.003243
12490,20111216,IBM,20990,183.57001,-0.020855,1,-0.020855,0.003216
12490,20111219,IBM,20990,182.89000,-0.003704,1,-0.003704,-0.011733
12490,20111220,IBM,20990,187.24001,0.023785,1,0.023785,0.029825
12490,20111221,IBM,20990,181.47000,-0.030816,1,-0.030816,0.001950
12490,20111222,IBM,20990,182.03999,0.003141,1,0.003141,0.008266
12490,20111223,IBM,20990,184.75000,0.014887,1,0.014887,0.009035
12490,20111227,IBM,20990,184.95000,0.001083,1,0.001083,0.000079
12490,20111228,IBM,20990,183.99001,-0.005191,1,-0.005191,-0.012478
12490,20111229,IBM,20990,186.17999,0.011903,1,0.011903,0.010707
12490,20111230,IBM,20990,183.88000,-0.012354,1,-0.012354,-0.004291
12490,20120103,IBM,20990,186.30000,0.013161,1,0.013161,0.015474
12490,20120104,IBM,20990,185.53999,-0.004079,1,-0.004079,0.000188
12490,20120105,IBM,20990,184.66000,-0.004743,1,-0.004743,0.002944
12490,20120106,IBM,20990,182.53999,-0.011481,1,-0.011481,-0.002537
12490,20120109,IBM,20990,181.59000,-0.005204,1,-0.005204,0.002262
12490,20120110,IBM,20990,181.31000,-0.001542,1,-0.001542,0.008886
12490,20120111,IBM,20990,182.32001,0.005571,1,0.005571,0.000310
12490,20120112,IBM,20990,180.55000,-0.009708,1,-0.009708,0.002337
12490,20120113,IBM,20990,179.16000,-0.007699,1,-0.007699,-0.004948
12490,20120117,IBM,20990,180.00000,0.004689,1,0.004689,0.003553
12490,20120118,IBM,20990,181.07001,0.005944,1,0.005944,0.011108
12490,20120119,IBM,20990,180.52000,-0.003038,1,-0.003038,0.004939
12490,20120120,IBM,20990,188.52000,0.044316,1,0.044316,0.000669
12490,20120123,IBM,20990,189.98000,0.007744,1,0.007744,0.000471
12490,20120124,IBM,20990,191.92999,0.010264,1,0.010264,-0.001026
12490,20120125,IBM,20990,191.73000,-0.001042,1,-0.001042,0.008672
12490,20120126,IBM,20990,190.98000,-0.003912,1,-0.003912,-0.005746
12490,20120127,IBM,20990,190.46001,-0.002723,1,-0.002723,-0.001593
12490,20120130,IBM,20990,192.50000,0.010711,1,0.010711,-0.002522
12490,20120131,IBM,20990,192.60001,0.000520,1,0.000520,-0.000457
12490,20120201,IBM,20990,192.62000,0.000104,1,0.000104,0.008900
12490,20120202,IBM,20990,191.53000,-0.005659,1,-0.005659,0.001095
12490,20120203,IBM,20990,193.64000,0.011017,1,0.011017,0.014605
12490,20120206,IBM,20990,192.82001,-0.004235,1,-0.004235,-0.000424
12490,20120207,IBM,20990,193.35001,0.002749,1,0.002749,0.002023
12490,20120208,IBM,20990,192.95000,0.001810,1,-0.002069,0.002160
12490,20120209,IBM,20990,193.13000,0.000933,1,0.000933,0.001474
12490,20120210,IBM,20990,192.42000,-0.003676,1,-0.003676,-0.006886
12490,20120213,IBM,20990,192.62000,0.001039,1,0.001039,0.006800
12490,20120214,IBM,20990,192.22000,-0.002077,1,-0.002077,-0.000940
12490,20120215,IBM,20990,192.25000,0.000156,1,0.000156,-0.005383
12490,20120216,IBM,20990,193.02000,0.004005,1,0.004005,0.011026
12490,20120217,IBM,20990,193.42000,0.002072,1,0.002072,0.002349
12490,20120221,IBM,20990,193.39000,-0.000155,1,-0.000155,0.000720
12490,20120222,IBM,20990,193.87000,0.002482,1,0.002482,-0.003340
12490,20120223,IBM,20990,197.61000,0.019291,1,0.019291,0.004272
12490,20120224,IBM,20990,197.75999,0.000759,1,0.000759,0.001672
12490,20120227,IBM,20990,197.53000,-0.001163,1,-0.001163,0.001355
12490,20120228,IBM,20990,197.98000,0.002278,1,0.002278,0.003356
12490,20120229,IBM,20990,196.73000,-0.006314,1,-0.006314,-0.004737
12490,20120301,IBM,20990,197.53000,0.004067,1,0.004067,0.006158
12490,20120302,IBM,20990,198.81000,0.006480,1,0.006480,-0.003246
12490,20120305,IBM,20990,200.66000,0.009305,1,0.009305,-0.003870
12490,20120306,IBM,20990,197.25999,-0.016944,1,-0.016944,-0.015370
12490,20120307,IBM,20990,197.77000,0.002585,1,0.002585,0.006901
12490,20120308,IBM,20990,199.81000,0.010315,1,0.010315,0.009818
12490,20120309,IBM,20990,200.62000,0.004054,1,0.004054,0.003631
12490,20120312,IBM,20990,201.00000,0.001894,1,0.001894,0.000160
12490,20120313,IBM,20990,203.78000,0.013831,1,0.013831,0.018132
12490,20120314,IBM,20990,204.72000,0.004613,1,0.004613,-0.001196
12490,20120315,IBM,20990,206.00000,0.006252,1,0.006252,0.005967
12490,20120316,IBM,20990,206.00999,0.000049,1,0.000049,0.001119
12490,20120319,IBM,20990,205.72000,-0.001408,1,-0.001408,0.003974
12490,20120320,IBM,20990,204.25000,-0.007146,1,-0.007146,-0.003001
12490,20120321,IBM,20990,204.69000,0.002154,1,0.002154,-0.001871
12490,20120322,IBM,20990,205.49001,0.003908,1,0.003908,-0.007207
12490,20120323,IBM,20990,205.48000,-0.000049,1,-0.000049,0.003109
12490,20120326,IBM,20990,207.77000,0.011145,1,0.011145,0.013886
12490,20120327,IBM,20990,207.17999,-0.002840,1,-0.002840,-0.002817
12490,20120328,IBM,20990,207.28999,0.000531,1,0.000531,-0.004942
12490,20120329,IBM,20990,208.27000,0.004728,1,0.004728,-0.001608
12490,20120330,IBM,20990,208.64999,0.001825,1,0.001825,0.003698
12490,20120402,IBM,20990,209.47000,0.003930,1,0.003930,0.007505
12490,20120403,IBM,20990,209.50000,0.000143,1,0.000143,-0.003989
12490,20120404,IBM,20990,206.05000,-0.016468,1,-0.016468,-0.010202
12490,20120405,IBM,20990,205.47000,-0.002815,1,-0.002815,-0.000629
12490,20120409,IBM,20990,204.94000,-0.002579,1,-0.002579,-0.011358
12490,20120410,IBM,20990,202.33000,-0.012735,1,-0.012735,-0.017081
12490,20120411,IBM,20990,202.58000,0.001236,1,0.001236,0.007449
12490,20120412,IBM,20990,205.32001,0.013526,1,0.013526,0.013779
12490,20120413,IBM,20990,202.80000,-0.012274,1,-0.012274,-0.012475
12490,20120416,IBM,20990,202.72000,-0.000394,1,-0.000394,-0.000504
12490,20120417,IBM,20990,207.45000,0.023333,1,0.023333,0.015487
12490,20120418,IBM,20990,200.13000,-0.035286,1,-0.035286,-0.004055
12490,20120419,IBM,20990,199.50999,-0.003098,1,-0.003098,-0.005934
12490,20120420,IBM,20990,199.60001,0.000451,1,0.000451,0.001169
12490,20120423,IBM,20990,198.62000,-0.004910,1,-0.004910,-0.008408
12490,20120424,IBM,20990,200.00000,0.006948,1,0.006948,0.003680
12490,20120425,IBM,20990,203.57001,0.017850,1,0.017850,0.013645
12490,20120426,IBM,20990,205.58000,0.009874,1,0.009874,0.006680
12490,20120427,IBM,20990,206.81000,0.005983,1,0.005983,0.002414
12490,20120430,IBM,20990,207.08000,0.001306,1,0.001306,-0.003884
12490,20120501,IBM,20990,208.00000,0.004443,1,0.004443,0.005658
12490,20120502,IBM,20990,208.06000,0.000288,1,0.000288,-0.002497
12490,20120503,IBM,20990,207.24001,-0.003941,1,-0.003941,-0.007659
12490,20120504,IBM,20990,204.99001,-0.010857,1,-0.010857,-0.016147
12490,20120507,IBM,20990,203.75000,-0.006049,1,-0.006049,0.000351
12490,20120508,IBM,20990,201.48000,-0.006969,1,-0.011141,-0.004279
12490,20120509,IBM,20990,201.23000,-0.001241,1,-0.001241,-0.006702
12490,20120510,IBM,20990,200.60001,-0.003131,1,-0.003131,0.002517
12490,20120511,IBM,20990,201.17000,0.002841,1,0.002841,-0.003387
12490,20120514,IBM,20990,199.44000,-0.008600,1,-0.008600,-0.011113
12490,20120515,IBM,20990,199.03999,-0.002006,1,-0.002006,-0.005746
12490,20120516,IBM,20990,199.73000,0.003467,1,0.003467,-0.004404
12490,20120517,IBM,20990,197.89000,-0.009212,1,-0.009212,-0.015051
12490,20120518,IBM,20990,195.88000,-0.010157,1,-0.010157,-0.007388
12490,20120521,IBM,20990,197.75999,0.009598,1,0.009598,0.016036
12490,20120522,IBM,20990,196.82001,-0.004753,1,-0.004753,0.000486
12490,20120523,IBM,20990,196.12000,-0.003557,1,-0.003557,0.001694
