PERMNO,date,TICKER,COMNAM,PRC
12490,19630329,IBM,INTERNATIONAL BUSINESS MACHS COR,421.00000
12490,19630430,IBM,INTERNATIONAL BUSINESS MACHS COR,463.75000
12490,19630531,IBM,INTERNATIONAL BUSINESS MACHS COR,477.25000
12490,19630628,IBM,INTERNATIONAL BUSINESS MACHS COR,436.25000
12490,19630731,IBM,INTERNATIONAL BUSINESS MACHS COR,434.50000
12490,19630830,IBM,INTERNATIONAL BUSINESS MACHS COR,444.75000
12490,19630930,IBM,INTERNATIONAL BUSINESS MACHS COR,452.00000
12490,19631031,IBM,INTERNATIONAL BUSINESS MACHS COR,494.00000
12490,19631129,IBM,INTERNATIONAL BUSINESS MACHS COR,485.25000
12490,19631231,IBM,INTERNATIONAL BUSINESS MACHS COR,507.00000
12490,19640131,IBM,INTERNATIONAL BUSINESS MACHS COR,542.00000
12490,19640228,IBM,INTERNATIONAL BUSINESS MACHS COR,569.00000
12490,19640331,IBM,INTERNATIONAL BUSINESS MACHS COR,594.25000
12490,19640430,IBM,INTERNATIONAL BUSINESS MACHS COR,570.25000
12490,19640528,IBM,INTERNATIONAL BUSINESS MACHS COR,480.00000
12490,19640630,IBM,INTERNATIONAL BUSINESS MACHS COR,477.00000
12490,19640731,IBM,INTERNATIONAL BUSINESS MACHS COR,462.00000
12490,19640831,IBM,INTERNATIONAL BUSINESS MACHS COR,440.50000
12490,19640930,IBM,INTERNATIONAL BUSINESS MACHS COR,436.50000
12490,19641030,IBM,INTERNATIONAL BUSINESS MACHS COR,420.00000
12490,19641130,IBM,INTERNATIONAL BUSINESS MACHS COR,412.50000
12490,19641231,IBM,INTERNATIONAL BUSINESS MACHS COR,409.50000
12490,19650129,IBM,INTERNATIONAL BUSINESS MACHS COR,448.50000
12490,19650226,IBM,INTERNATIONAL BUSINESS MACHS COR,455.75000
12490,19650331,IBM,INTERNATIONAL BUSINESS MACHS COR,454.25000
12490,19650430,IBM,INTERNATIONAL BUSINESS MACHS COR,485.00000
12490,19650528,IBM,INTERNATIONAL BUSINESS MACHS COR,478.00000
12490,19650630,IBM,INTERNATIONAL BUSINESS MACHS COR,458.00000
12490,19650730,IBM,INTERNATIONAL BUSINESS MACHS COR,479.00000
12490,19650831,IBM,INTERNATIONAL BUSINESS MACHS COR,499.00000
12490,19650930,IBM,INTERNATIONAL BUSINESS MACHS COR,512.50000
12490,19651029,IBM,INTERNATIONAL BUSINESS MACHS COR,533.00000
12490,19651130,IBM,INTERNATIONAL BUSINESS MACHS COR,525.00000
12490,19651231,IBM,INTERNATIONAL BUSINESS MACHS COR,499.00000
12490,19660131,IBM,INTERNATIONAL BUSINESS MACHS COR,496.00000
12490,19660228,IBM,INTERNATIONAL BUSINESS MACHS COR,515.00000
12490,19660331,IBM,INTERNATIONAL BUSINESS MACHS COR,516.00000
12490,19660429,IBM,INTERNATIONAL BUSINESS MACHS COR,557.50000
12490,19660531,IBM,INTERNATIONAL BUSINESS MACHS COR,362.75000
12490,19660630,IBM,INTERNATIONAL BUSINESS MACHS COR,350.50000
12490,19660729,IBM,INTERNATIONAL BUSINESS MACHS COR,340.75000
12490,19660831,IBM,INTERNATIONAL BUSINESS MACHS COR,320.50000
12490,19660930,IBM,INTERNATIONAL BUSINESS MACHS COR,317.50000
12490,19661031,IBM,INTERNATIONAL BUSINESS MACHS COR,332.00000
12490,19661130,IBM,INTERNATIONAL BUSINESS MACHS COR,376.00000
12490,19661230,IBM,INTERNATIONAL BUSINESS MACHS COR,371.50000
12490,19670131,IBM,INTERNATIONAL BUSINESS MACHS COR,399.50000
12490,19670228,IBM,INTERNATIONAL BUSINESS MACHS COR,430.00000
12490,19670331,IBM,INTERNATIONAL BUSINESS MACHS COR,451.00000
12490,19670428,IBM,INTERNATIONAL BUSINESS MACHS COR,496.50000
12490,19670531,IBM,INTERNATIONAL BUSINESS MACHS COR,466.25000
12490,19670630,IBM,INTERNATIONAL BUSINESS MACHS COR,497.50000
12490,19670731,IBM,INTERNATIONAL BUSINESS MACHS COR,507.75000
12490,19670831,IBM,INTERNATIONAL BUSINESS MACHS COR,499.75000
12490,19670929,IBM,INTERNATIONAL BUSINESS MACHS COR,548.25000
12490,19671031,IBM,INTERNATIONAL BUSINESS MACHS COR,593.50000
12490,19671130,IBM,INTERNATIONAL BUSINESS MACHS COR,612.00000
12490,19671229,IBM,INTERNATIONAL BUSINESS MACHS COR,627.00000
12490,19680131,IBM,INTERNATIONAL BUSINESS MACHS COR,594.50000
12490,19680229,IBM,INTERNATIONAL BUSINESS MACHS COR,580.00000
12490,19680329,IBM,INTERNATIONAL BUSINESS MACHS COR,612.50000
12490,19680430,IBM,INTERNATIONAL BUSINESS MACHS COR,677.50000
12490,19680531,IBM,INTERNATIONAL BUSINESS MACHS COR,357.00000
12490,19680628,IBM,INTERNATIONAL BUSINESS MACHS COR,353.75000
12490,19680730,IBM,INTERNATIONAL BUSINESS MACHS COR,338.75000
12490,19680830,IBM,INTERNATIONAL BUSINESS MACHS COR,335.00000
12490,19680930,IBM,INTERNATIONAL BUSINESS MACHS COR,335.00000
12490,19681031,IBM,INTERNATIONAL BUSINESS MACHS COR,307.00000
12490,19681129,IBM,INTERNATIONAL BUSINESS MACHS COR,333.75000
12490,19681231,IBM,INTERNATIONAL BUSINESS MACHS COR,315.00000
12490,19690131,IBM,INTERNATIONAL BUSINESS MACHS COR,296.25000
12490,19690228,IBM,INTERNATIONAL BUSINESS MACHS COR,293.37500
12490,19690328,IBM,INTERNATIONAL BUSINESS MACHS COR,314.00000
12490,19690430,IBM,INTERNATIONAL BUSINESS MACHS COR,328.00000
12490,19690529,IBM,INTERNATIONAL BUSINESS MACHS COR,319.00000
12490,19690630,IBM,INTERNATIONAL BUSINESS MACHS COR,337.75000
12490,19690731,IBM,INTERNATIONAL BUSINESS MACHS COR,324.50000
12490,19690829,IBM,INTERNATIONAL BUSINESS MACHS COR,345.00000
12490,19690930,IBM,INTERNATIONAL BUSINESS MACHS COR,345.25000
12490,19691031,IBM,INTERNATIONAL BUSINESS MACHS COR,360.50000
12490,19691128,IBM,INTERNATIONAL BUSINESS MACHS COR,357.00000
12490,19691231,IBM,INTERNATIONAL BUSINESS MACHS COR,364.50000
12490,19700130,IBM,INTERNATIONAL BUSINESS MACHS COR,335.25000
12490,19700227,IBM,INTERNATIONAL BUSINESS MACHS COR,340.25000
12490,19700331,IBM,INTERNATIONAL BUSINESS MACHS COR,338.50000
12490,19700430,IBM,INTERNATIONAL BUSINESS MACHS COR,298.00000
12490,19700529,IBM,INTERNATIONAL BUSINESS MACHS COR,278.00000
12490,19700630,IBM,INTERNATIONAL BUSINESS MACHS COR,250.00000
12490,19700731,IBM,INTERNATIONAL BUSINESS MACHS COR,252.25000
12490,19700831,IBM,INTERNATIONAL BUSINESS MACHS COR,266.25000
12490,19700930,IBM,INTERNATIONAL BUSINESS MACHS COR,291.75000
12490,19701030,IBM,INTERNATIONAL BUSINESS MACHS COR,294.00000
12490,19701130,IBM,INTERNATIONAL BUSINESS MACHS COR,307.25000
12490,19701231,IBM,INTERNATIONAL BUSINESS MACHS COR,317.75000
12490,19710129,IBM,INTERNATIONAL BUSINESS MACHS COR,325.50000
12490,19710226,IBM,INTERNATIONAL BUSINESS MACHS COR,336.50000
12490,19710331,IBM,INTERNATIONAL BUSINESS MACHS COR,357.50000
12490,19710430,IBM,INTERNATIONAL BUSINESS MACHS COR,357.75000
12490,19710528,IBM,INTERNATIONAL BUSINESS MACHS COR,327.00000
12490,19710630,IBM,INTERNATIONAL BUSINESS MACHS COR,317.00000
12490,19710730,IBM,INTERNATIONAL BUSINESS MACHS COR,291.25000
12490,19710831,IBM,INTERNATIONAL BUSINESS MACHS COR,304.00000
12490,19710930,IBM,INTERNATIONAL BUSINESS MACHS COR,303.75000
12490,19711029,IBM,INTERNATIONAL BUSINESS MACHS COR,300.50000
12490,19711130,IBM,INTERNATIONAL BUSINESS MACHS COR,305.50000
